line_no,human_out,asr_out
245,sentence segmenter,segment sentence segmenter
245,dental,then to
247,And the,in the
247,web,vet
248,received,receive
252,run here,on here
253,PerVoice,pairwise
254,run in Karlsruhe,running cars through it
255,it is distributed,is this through beauty
256,they are,the
256,uh but uh,about
256,it uses,a re useses
256,particular,particle
256,the TCP,that these Cp
260,any lag,Any like
261,connect,calling
261,connect the presenting system,"cunning, the prison, think system"
262,setup,set for
262,EUROSAI Congress,year cycle grows
262,interpreters,interpret
262,many,Marry
262,all the six,sick to all
264,setup is,set of this
265,mediator,media
270,a,-
272,-,little
273,seconds or,second sword
273,seconds,second thoughts
274,-,it
275,simultaneous,somewhat in the
276,test,debts
276,a,-
277,live,life
280,at,and
280,Prague AI,Frock AI
280,-,is
282,asked,lost
283,connect,conduct
283,to a,tool
285,wi-fi,why fight
286,I,-
286,I tested it,at this that it
287,brought,broad
290,killed the wi-fi,kill the wife
292,at all. So,and also
293,so,on
293,at that event,than even
295,-,the the
295,-,of
301,error,ever
301,you are,your
302,a,-
305,delay,The lady
305,or,are
306,ASR,solar
307,ran it,rented
307,but,about
308,wi-fi,via flight
308,it back,in the bank
309,were,are
310,were,are
311,load,low to
311,the,that
314,OK,again
317,chest,just
322,unfortunately,I would untrue to unfortunate
323,chest,just
323,and I am relying,number lying
325,-,thus
325,Czech,check
325,-,of use
325,-,the
327,that is,they are
329,"Yeah, this is a tip",in this
330,-,so
333,-,the  view
335,the mike,my
336,Firm Fairs when,from first one
337,entered,and the
339,there is,the various
341,conferencing,conference in
345,pin,been
345,connector,the conductor
345,"sound card, with just the build in sound card","some colleges', the building some kind"
346,misalign,Miss align
346,pins of,pince are all
347,-,so the
347,we've figured,we figure
350,control at,can throw
350,volume,blue
351,button,barton
352,mic,make
352,padding,putting
353,set,said
354,-,So this
354,too,the
355,clip it,clear bit
356,-,frequent
356,ASR,ears are what
357,track the signals,thread this signal
357,experienced,experience
358,-,good
358,PerVoice,paper was
358,-,have
360,followed from the mic,follow through on the Mike
360,it headphones,as phones
360,said,that
361,-,and
362,step-wise,is the price
363,ASR,it is our
366,-,They have
366,bottle,boat to
366,heart,harsh
366,České budějovice,just good. Would you know it is
367,reality,the really did
368,in hard of České budějovice,in heart of just get rid of it
368,-,that
368,mispronunciation,miss pronunciation
369,-,in
370,and,-
371,-,a
371,shelter,shows are
372,unexper-,an expert
373,hotel,hold
374,-,all
375,České budějovice,just they would
375,Czech,check
376,The standard ASR would,This thundered a us our Lord
376,the ASR can spot,of his heart and sport
377,if the ASR is is,is the a 's star is its
377,cancel,cancelled
378,the Czech city,that takes it in
379,ASR,as our
380,-,a
381,across,occurs
381,there,their
382,ASR,as our
382,ninetyish,nine dish
383,-,show
383,-,also
383,-,the was
385,plot,people have
385,count,found
385,errors,others
386,Edinburgh so Edinburgh,any imbera.So I remember
386,-,it
387,and,-
390,"background, noise","the ground, no is"
390,professionally,profession
391,mics,mikes
391,spoke,those poked
391,twist,do. That was
392,reality,really do
393,ASR,as our
394,instead of,is that
395,-shelter,shows
395,I know,no one
398,ASR models,his arm orders
398,ideally we,really
400,fallback,fall like
401,interpreters,interpreter
401,noise,the
403,particular way,particle weight
403,adapt,depth
405,adapt,depth
406,ask,cause
406,uh,the love
407,uh,the mob
407,we,-
407,whatever,what I
408,text or or,Thanks to our our
408,would,were
409,gather,together
409,and regularly evaluate,data at the southern and regularly. Apollo eight
410,ASR,Sri
411,so what do we,sown know what
411,the,that
411,are,-
414,-,"is says,"""
416,fluent,through and through
416,recognize,organize
419,two,and checked to
419,as ob or as da,"as all pow, 'rs dock, um"
420,-,black
420,distorts,this towards
421,my,might
422,sentence,And then
423,EU,you have
424,man,-
424,like,slide
424,mismatch and,Is much any
428,till,moved to float
428,yeah,yet
429,work.Every the mission,"vocabulary, the machine"
430,ran out of vocabulary,Ranald Hungary
431,block,books
431,-,know
432,things,thinks
433,profanities,prophet is
433,were,we are
433,vocabulary,Ranald
433,machine,mission
435,language,English
435,ants are Heiress,ASR errors
437,said,set
438,translate it,translated
439,ASR as fully,ears are as full
439,trustworthy and,thrust forth and need
439,reorders,real.There is
440,wrong,strong
440,the ASR system,this artist them
441,machine translation,Mission foundation
442,strange,French
443,mentioned,mention
443,talk,dog
444,theses,fees. This
444,that,there
445,the ASR recognizes,This are good as this
446,thises,these is
447,that,there
447,"system, yeah",is that so that yet
448,translated too if I was translating it,translate the downside it too. If I was the one thing about
449,two,to
449,"as ""to fold""",This twofold
449,"""rozdrobit se""",well as the bits that
452,together,to gather
452,parallel data. University of Edinburgh,called a dump. And in the universe that number
453,back translate,make them slate
453,auditing,already think
454,parallel,Paolo
455,uh,-
455,EU,new
455,aiming at,naming it
457,the translation quality,the vast inequality
458,We'll,will
458,will,-
458,evaluate,able wait
459,We'll also try,We also tried
459,with <UNKNOWN>,the house. Again
460,"parallel data, and, uh","Apollo data, and"
460,given our test sets,give an artist says
462,"try to create gazetteers, so lists of relevant named entities",trying to create guess the tears solace tougher live on men into these like
462,offices,office says
463,for machine,formation
463,but,what
466,machine,missoin
466,translation system,"was, this is them"
467,uh,who and
467,ASR,way us our
469,"rather than, uh, uh",to read. The Den is the
470,"It, we'll",they will
472,notice,note is
475,model,motor
475,she,-
475,the speaker's,"this, this because"
477,parallel data,the Pall
477,uh to have,moon
478,fact either,Thank you
481,-,well
482,help,-
474,ASR,ace are
474,and MT,an empty
474,ASR emits strings,s R.M it is the rings
484,machine translation,mission transition
484,correct,couric
486,insert,in their
486,ASR,as our
486,"ASR, uh, to predict",as sorrow to predicate
487,correct,couric
487,would,with the
487,words,forests
488,and,-
488,goals,ghosts
489,fully,for the
489,uh,really
491,"a stream of words, guess",us three or four. It is gets
491,Ottokar Tilk's,"the other car stilts, ah"
491,someone's tool,someone stool
494,about the intonation,of all the information
496,tool,today
496,integrate it,integrated
497,any help,to anyhow
498,"uh, <UNKNOWN> has trained",it was sunk. It suggests rain
498,about,both
500,marks that,margins
500,80,a two
502,"errors in precision, uh, lead to","Heiress, imprecision, only"
504,ASR,us are
504,like,lake
504,leading,releaving
507,stop,stall
508,two,to
508,-,this
509,slides,flights
510,thing,think
511,these,this
511,of strings of,offspring was off
513,audit,what
516,input,implode
516,omit,on with
516,sentence,and then
517,fit,feed
517,the machine,Their mission
517,full sentence,false and thence
518,"just ""Děkuji"", že ""Thank you""","Dick. We just think, you know"
519,ASR,is our
519,added,ended
520,MT,empty
520,ASR sent,his horse and
521,ASR,is our
521,thank,think
521,-,love
522,fin,Phil
523,thank,think
524,one sentence,once
525,sentence,sense
525,-,and
526,upgrades,is um greats
527,the,to
527,ASR and MT,sorrow and the
527,and I'll show you on the following slides,in motion on the following size
528,present,President
528,we're,where
529,a font too,found two
531,font,phone
531,"uh, legible",eligible
531,row,through
533,and appear,abby
534,cannot read,can three
535,ASR,as our
537,redeciding,Reed deciding
538,it,their
538,-,that
539,words,worst
539,unstable,on stable
540,cannot,can have
541,sizing of the text,sizing of that day
542,an e-shop,any shop
542,small or,smaller
543,issue up,e-shop
544,teddy bear,that it better
544,of,or have
546,run,around
547,ten,then
547,at,-
548,falsely,fall slowly
549,and,any
549,-,do
550,will,were
550,observe,observed
550,czech,check
551,great,a low grade
552,too,to
553,ASR and MT,as are empty
553,bad,better
554,the text,that X
554,I don't know if,a no
555,czech,check
558,only,-
558,gray,great
560,then the,And then the 4th some
560,segmenter,segment there
561,fully,full of
561,scarce,scars
561,infrequent,in frequent
562,fase,face
562,text,tics
564,more recent,Maurice and
564,follow,have full
565,that differs,the difference
566,of,office
568,yeah,so
568,pipeline,bike line
569,possible,impossible
569,talk,dog
570,"Ah, okay, yeah","Ah, again, and yet.And"
570,text,checks
570,subtitling,supplied link
571,ASRs,are
571,stresm,has three
572,sentence,assent and
573,so it,soap it is
573,ASR debates,is our debates
573,update,day
574,sequences of,sequence is self
576,then,to then
576,full stop,force
576,I may will,I'm a a
576,may move it,moved
577,yes,as the Us
578,-,who
579,empty system,And this is them his brow of
581,correct German sentences,"Couric judgment, and then says"
583,it,them.They
584,line is,lime this
585,see it,seed
585,saw,so
587,reset,The rest said
587,subtitling,sub.Tightening
587,already scrolled,or disc rolled
587,reset,three said
588,reread,read
588,-,noticed
589,red.And the the red,the right. And the the wretch
589,a reset,arrested
589,the segmenter was,"The second, most"
590,where,were
590,if,gave
591,for here for ASR,put here for a us are
591,a rested,arrested
592,was like a remark,It was like remote
592,red,rest
593,so that,so the dead but
593,why the limited output,of why the limited out will
594,word,wards
595,you,redo
597,Like what,why what
597,-,of
598,-,would
598,these subtitles.You,the subtitle soup
599,"mistake, if",miss.They gave
600,the take out,"that, they go"
600,that of that bad word,the Bill that bed were
601,setup,that
601,confirmed,corn for him
601,that,dead
603,these are these here,the the studies
607,adding,ending
608,the slides are,that with the flies are
609,overall,old
609,I'm,love
610,TED talk,it that dark
611,and it,Ain 't it
613,Martin Popel,much improper
613,Czech,check
613,and it was addended by our two,any Ross and then did by our to
614,Czech talk,checked dog
614,view. And then,fuel
615,slides,slice
616,normal users have to,"normally, use.Those"
616,-,you
617,desired,These are
617,from user to user,from Hughes Abuse it
617,simultaneitly,similar to new Glee
619,tongue,tank
620,appear here at,"be there, and"
622,tongue can,Ducan
623,seconds. You,second stewed
625,o evaluation,inhalation
625,language,English
626,lag,lake
627,-,of
627,lag,lake
630,here is just the the,and hideous as as the them
631,ASR,as are the
631,it,-
632,reference,their friends
632,they the words,the doors
633,evaluating,ever leading
633,ASR,as our
634,reference,references
634,detais,bills
635,lik,unlike
636,"MT, the SLT",empty the as so the
636,then,the
637,uttered,out there
638,surge or,search for
638,towards a,torso
639,-,pro
640,-,so
640,who is,was
640,on what,on lot
640,-,new
642,flagged checked,fly could check to
642,-,but the
643,grows logs,gross locks
643,log files,look files
643,this dashboard,and does that board
644,ASR,as are
644,French,of friendship
645,ASR,as are
646,will,still
646,words,"says,"" The word"""
647,inputs,imports
648,interpreters,interpret
648,will,would
649,data to adapt,they have got to have
649,code,coat
650,foreigh,four
651,-,but
651,ASR,as are
652,above,-
652,entities,and it is
652,unknown,an own
653,it is very very,"is still, there were"
654,test set,tested
654,you are,your
654,of,have
655,evaluating on the test set,overloading on that that is that is
656,rid.The retraining says,retrainings until
656,architectural,architecture
657,score quite a bit.And.Yep.I've already,disk or quite a bit paint.You up for the
657,this dashboard,So there is there is board
657,dashborad,support
658,-,"Uh, set up"
658,inputs,imports. This
658,With this multi-source,"was the small, the source"
659,up,of
659,ASR,as are
659,with,of
661,path,possible
661,quality.Yeah,wanted them
661,of their leader,ELITR
661,deliver crap,Delhi were crept
663,Sangeet Multiple?,some good mother
664,seamless,seem less
665,Czech,check
667,solved,sold
670,yeah.With.That's it,is to be a blue with us that that is it
671,army or,are male or
672,of you,view
672,surge,search
673,one two,though one to
673,at least four four,the yacht so so at least for for
673,or,of you
675,blog,block
677,ASR,on this are
677,then,and
678,further to the machine,for her to go to the mission
678,you,they
678,words,woe who works
679,something,some sink
679,hm,the moon
679,grammar checker,Brimmer trucker
679,Let us put it,that would
680,supposed,sample
680,-,was the most
680,the,this
681,the segmenter is a,to segment.There is the
681,n-gram-based,and Graham base
681,n-gram,an graham
682,language model,and rang which more true
683,already a,order
683,-,edges
683,-,local
684,that,there
684,yes,best
685,sense,cents
685,-,so
686,utter,other
686,correct,court
686,task,does
688,convert it,converted
688,speech,this beach
688,correct,good choric for
689,machine,mission
691,Dominik Macháček,dominick.I 'm watching
691,machine,mission
691,of words,all for it is
692,we,new
692,-,rose
693,disfluent,this through an
693,disfluent sentences,disfluency vince 's
694,More questions?OK.I have,which care
694,your,see our
695,under their,on that day
695,this.Have you ever seen it?It's not,a nice heavy overseas does
696,completely,gone
696,the air,here
697,under my chin,much cheaper
697,to evaluate it,to overloaded
697,loud,laws
698,under your chin,on the arch in
700,paid due,separate you
700,help for the segmentation a lot,have for the signal.And then she got
701,fluent,throne
701,is that is,still but
701,43,for fortis
702,bugs,books
703,tiny,die
704,picking...Or I'll leave them on,taking the or a pitch
704,I am pretty happy with your answer.So.So,It had a visitor onset.So
705,"please, feel free to ask",precise that if we
705,view,you
706,hindi,him D
706,X1 and X0,it is one and a zero
706,Czech,check
707,or add to your,"all?Well, as studio, all"
708,strategies,strategies
708,or something like that,also say that they are
709,Is there,So is this
709,experience,things mean
711,Thanks to them,think that then
711,more much more,along CA so
712,simultaneous,summit in his
712,so simultaneous,will soon within. Those
713,get,give
714,same realm,same brain
715,now our very first,"no fool, our very first"
717,BLEU,full blessed
717,lag,lake
717,yet tested,just that
719,lags,lax
719,will obviously,will always.They have
719,to spot,tp transport
720,tool,through
720,evaluates,violates
720,SLT systems,facilities systems
724,graded,created
726,I am afraid,I must change
